student_code	school_code	benchmark_test_code	test_score
104573084	NULL	G6Math_2013-04-01	63.64
970033159	NULL	G4MathP_2013-04-01	52.21
641499413	NULL	G5Math_2013-04-01	84.21
103449203	NULL	G8DBA_ELA_2013-04-01	72.73
970036038	NULL	G7Math_2013-04-01	52.78
100114941	NULL	G10DBA_ELA_2013-04-01	70.59
103369856	NULL	G8Math_2013-04-01	67.74
104099411	NULL	G7Math_2013-04-01	63.89
970024256	NULL	G4DBA_ELA_2013-04-01	51.61
104574140	NULL	G6DBA_ELA_2013-04-01	72.97
102957594	NULL	G9DBA_ELA_2013-04-01	58.82
970036436	NULL	G6Math_2013-04-01	54.55
102718178	NULL	Alg1_2013-04-01	55.88
970015892	NULL	G6Math_2013-04-01	75.76
970024387	NULL	G4Math_2013-04-01	70.45
104093208	NULL	G7Math_2013-04-01	83.33
970088686	NULL	G7Math_2013-04-01	38.89
118971852	NULL	G10DBA_ELA_2013-04-01	50.00
100099365	NULL	G9DBA_ELA_2013-04-01	67.65
104091269	NULL	G7Math_2013-04-01	55.56
970048006	NULL	Alg1_2013-04-01	32.35
970029434	NULL	G4DBA_ELA_2013-04-01	29.03
102699295	NULL	G10DBA_ELA_2013-04-01	76.47
970074936	NULL	G4Math_2013-04-01	56.82
104228580	NULL	G7DBA_ELA_2013-04-01	50.00
970052090	NULL	G7DBA_ELA_2013-04-01	86.11
100500883	NULL	G6Math_2013-04-01	27.27
103137550	NULL	G8Math_2013-04-01	45.16
104391925	NULL	G7Math_2013-04-01	52.78
970095751	NULL	G9DBA_ELA_2013-04-01	44.12
842344178	NULL	G6DBA_ELA_2013-04-01	32.43
970025140	NULL	G4Math_2013-04-01	81.82
104066469	NULL	G7Math_2013-04-01	41.67
104615455	NULL	G4DBA_ELA_2013-04-01	45.16
388377277	NULL	G8DBA_ELA_2013-04-01	48.48
103462982	NULL	G7Math_2013-04-01	91.67
100021765	NULL	G9DBA_ELA_2013-04-01	64.71
102804564	NULL	Geom_2013-04-01	20.00
100031319	NULL	G9DBA_ELA_2013-04-01	35.29
100077239	NULL	Geom_2013-04-01	62.86
103458451	NULL	G7Math_2013-04-01	72.22
970025172	NULL	G4Math_2013-04-01	88.64
104099304	NULL	G7DBA_ELA_2013-04-01	66.67
970026132	NULL	G4DBA_ELA_2013-04-01	61.29
970051598	NULL	G6DBA_ELA_2013-04-01	37.84
103428538	NULL	G7DBA_ELA_2013-04-01	61.11
104447446	NULL	G6DBA_ELA_2013-04-01	48.65
970026836	NULL	G4Math_2013-04-01	56.82
104598040	NULL	G6DBA_ELA_2013-04-01	67.57
102934536	NULL	G9DBA_ELA_2013-04-01	73.53
970026344	NULL	G4Math_2013-04-01	77.27
970026493	NULL	G4DBA_ELA_2013-04-01	35.48
102400827	NULL	Alg1_2013-04-01	11.76
970074576	NULL	G4Math_2013-04-01	68.18
134436690	NULL	G6Math_2013-04-01	39.39
970027778	NULL	G4MathS_2013-04-01	63.64
970032779	NULL	G5DBA_ELA_2013-04-01	61.76
970026068	NULL	G4Math_2013-04-01	75.00
970095654	NULL	G7DBA_ELA_2013-04-01	61.11
103770053	NULL	Alg1_2013-04-01	26.47
104094479	NULL	G7Math_2013-04-01	52.78
103763165	NULL	G5DBA_ELA_2013-04-01	58.82
100111335	NULL	G8DBA_ELA_2013-04-01	54.55
970026866	NULL	G4DBA_ELA_2013-04-01	58.06
188769	NULL	G6Math_2013-04-01	39.39
104612569	NULL	G6DBA_ELA_2013-04-01	64.86
102909504	NULL	Alg1_2013-04-01	29.41
970050866	NULL	G5Math_2013-04-01	63.16
103535936	NULL	G6DBA_ELA_2013-04-01	81.08
970019049	NULL	G8MathP_2013-04-01	45.82
970026331	NULL	G4Math_2013-04-01	90.91
104586037	NULL	G6DBA_ELA_2013-04-01	48.65
970073409	NULL	G10DBA_ELA_2013-04-01	70.59
678486895	NULL	G5DBA_ELA_2013-04-01	41.18
970040680	NULL	G5Math_2013-04-01	84.21
103368718	NULL	Geom_2013-04-01	62.86
970033313	NULL	G4DBA_ELA_2013-04-01	80.65
482841996	NULL	G5DBA_ELA_2013-04-01	32.35
970039081	NULL	G5DBA_ELA_2013-04-01	70.59
970031108	NULL	G4DBA_ELA_2013-04-01	67.74
970031576	NULL	G4DBA_ELA_2013-04-01	61.29
637724469	NULL	G5Math_2013-04-01	89.47
494927411	NULL	G6Math_2013-04-01	72.73
100505452	NULL	G7DBA_ELA_2013-04-01	41.67
102697265	NULL	G10DBA_ELA_2013-04-01	67.65
100061563	NULL	G9DBA_ELA_2013-04-01	67.65
970032444	NULL	G4Math_2013-04-01	45.45
125322784	NULL	G5Math_2013-04-01	94.74
104586201	NULL	G6Math_2013-04-01	33.33
441816931	NULL	G5MathS_2013-04-01	100.00
100109099	NULL	G10DBA_ELA_2013-04-01	67.65
970034719	NULL	G4Math_2013-04-01	81.82
353316599	NULL	G4DBA_ELA_2013-04-01	74.19
102698255	NULL	G10DBA_ELA_2013-04-01	23.53
102937208	NULL	G10DBA_ELA_2013-04-01	61.76
102990058	NULL	G10DBA_ELA_2013-04-01	64.71
103428876	NULL	G8DBA_ELA_2013-04-01	54.55
365911544	NULL	G6Math_2013-04-01	57.58
190768	NULL	G6DBA_ELA_2013-04-01	18.92
970025471	NULL	G4DBA_ELA_2013-04-01	70.97
970032170	NULL	G4MathS_2013-04-01	70.45
102955911	NULL	Alg1_2013-04-01	38.24
970032014	NULL	G6DBA_ELA_2013-04-01	78.38
859652455	NULL	G5Math_2013-04-01	52.63
970037155	NULL	G5Math_2013-04-01	31.58
104596424	NULL	G6Math_2013-04-01	69.70
525584579	NULL	G5DBA_ELA_2013-04-01	70.59
482878634	NULL	G5DBA_ELA_2013-04-01	47.06
970028352	NULL	G4PDBA_ELA_2013-04-01	76.00
102708849	NULL	G8Math_2013-04-01	38.71
103324653	NULL	G8Math_2013-04-01	61.29
103462198	NULL	G4Math_2013-04-01	38.64
104385596	NULL	G7DBA_ELA_2013-04-01	11.11
